Fecha,Seccion,Noticia,URL,Sinopsis,autor
2024-04-29 10:07:00,Internacional,Así fue el anuncio de José Mujica sobre el tumor que tiene,https://www.informador.mx/internacional/Jose-Mujica-Asi-fue-el-anuncio-del-expresidente-uruguayo-sobre-el-tumor-que-tiene-20240429-0048.html,"“Por lo demás, estoy agradecido y, al fin y al cabo, que me quiten lo bailado”, declara el expresidente de Uruguay, José Mujica",EFE
2024-04-29 10:03:00,Entretenimiento,Presentaciones para celebrar el Día Internacional de la Danza en Guadalajara,https://www.informador.mx/entretenimiento/Guadalajara-Presentaciones-para-celebrar-el-Dia-Internacional-de-la-Danza-20240429-0047.html,Estas son las actividades que se realizarán en torno a esta importante fecha de celebrar,Oscar Eduardo Bravo Gutiérrez
2024-04-29 09:56:00,Tecnología,Descubren cómo convertir tipos de sangre y hacerlos universalmente compatibles,https://www.informador.mx/tecnologia/Descubren-como-convertir-tipos-de-sangre-y-hacerlos-universalmente-compatibles-20240429-0046.html,"Los poseedores de sangre del grupo cero negativo (0-) apenas llegan al 7% de la población, pero son cruciales, ya que su sangre es compatible con la de cualquier otro grupo sanguíneo",EFE
2024-04-29 09:54:00,México,López Obrador conversa con Joe Biden sobre temas migratorios,https://www.informador.mx/mexico/AMLO-conversa-con-Joe-Biden-sobre-migracion-durante-gira-en-Tulum-20240429-0041.html,"El Presidente Andrés Manuel López Obrador, sostuvo una conversación telefónica con su homólogo estadounidense, Joe Biden, para tratar temas sobre migración",NotiPress .
2024-04-29 09:50:00,Internacional,Pedro Sánchez confirma si renuncia o no al gobierno de España tras aviso,https://www.informador.mx/internacional/Espana-Pedro-Sanchez-confirma-si-renuncia-o-no-al-gobierno-tras-aviso-20240429-0045.html,"El presidente del gobierno se tomó unos días para reflexionar sobre lo que consideró una campaña de ""acoso y derribo"" contra él y su esposa",EFE
2024-04-29 09:37:00,Estilo,Estos son los tipos de grasas trans y los productos que las tienen,https://www.informador.mx/estilo/Salud-Estos-son-los-tipos-de-grasas-trans-y-los-productos-que-las-tienen-20240429-0043.html,Las grasas trans se producen cuando los fabricantes de alimentos convierten aceites líquidos en grasas sólidas,El Informador
2024-04-29 09:30:00,Entretenimiento,Conciertos en Guadalajara: Cartelera del 29 de abril al 5 de mayo,https://www.informador.mx/entretenimiento/Conciertos-en-Guadalajara-Cartelera-del-29-de-abril-al-5-de-mayo-20240429-0042.html,Estas son los eventos musicales agendados para la primera semana de mayo,Oscar Eduardo Bravo Gutiérrez
2024-04-29 09:12:00,México,"¿De qué delitos se le acusaba a ""Don Rodo"", el hermano de ""El Mencho""?",https://www.informador.mx/mexico/CJNG-De-que-delitos-se-le-acusaba-a-Don-Rodo-el-hermano-de-El-Mencho-20240429-0040.html,"La liberación se da debido a diversas irregularidades detectadas durante su captura realizada en el municipio de Autlán de Navarro, Jalisco",SUN .
2024-04-29 09:00:00,Entretenimiento,Todos los estrenos de Netflix en abril de 2024,https://www.informador.mx/entretenimiento/Netflix-Todos-los-estrenos-de-Netflix-en-abril-de-2024-20240427-0092.html,Descubre los nuevos contenidos de la última semana de abril de 2024 en Netflix,Xochitl Martínez
2024-04-29 08:43:00,Jalisco,Velan a comandante asesinado en Tlajomulco; atacan a un policía cada 17 días,https://www.informador.mx/jalisco/Velan-a-comandante-de-la-SSE-asesinado-en-Tlajomulco-atacan-a-un-policia-en-Jalisco-cada-17-dias-20240429-0039.html,Con el comandante Insua Casao suman al menos siete elementos asesinados a cargo de la Seguridad Pública en Jalisco,Rubí Bobadilla
2024-04-29 08:36:00,México,Cuestionan a López Obrador sobre el segundo debate presidencial y esto respondió,https://www.informador.mx/mexico/AMLO-Cuestionan-al-Presidente-sobre-el-segundo-debate-presidencial-y-esto-respondio-20240429-0038.html,El Presidente señala que las diferencias se deben manifestar,SUN .
2024-04-29 08:35:00,Entretenimiento,Teatro en Guadalajara: Cartelera del 29 de abril al 5 de mayo,https://www.informador.mx/entretenimiento/Guadalajara-Cartelera-de-teatro-del-29-de-abril-al-5-de-mayo-20240429-0036.html,Estas son las obras de teatro y danza que se realizarán a cabo en la primera semana de mayo,Oscar Eduardo Bravo Gutiérrez
2024-04-29 08:22:00,México,"¿Qué hizo mal la FGR para que el juez liberará al hermano de ""El Mencho""?",https://www.informador.mx/mexico/CJNG-Que-hizo-mal-la-FGR-para-que-el-juez-liberara-al-hermano-de-El-Mencho-20240429-0035.html,"Un juez ordenó este domingo la liberación del hermano de ""El Mencho"", que encabeza al CNG, considerado el más peligroso de México",EFE
2024-04-29 08:07:00,México,"¿Qué sigue ahora en el caso del hermano de ""El Mencho"" tras su liberación?",https://www.informador.mx/mexico/CJNG-Que-sigue-ahora-en-el-caso-del-hermano-de-El-Mencho-tras-su-liberacion-20240429-0032.html,"Un juez federal decidió el domingo no vincular a proceso a Abraham Oseguera Cervantes —hermano de “El Mencho”—, quien fue apresado hace una semana",AP .
2024-04-29 08:07:00,Jalisco,Este es el supermercado con los precios más bajos en Guadalajara,https://www.informador.mx/jalisco/Profeco-Este-es-el-supermercado-con-los-precios-mas-bajos-en-Guadalajara-20240429-0031.html,"Hay un supermercado ubicado de Jalisco, específicamente en Guadalajara, que tiene los precios más bajos según la Profeco",El Informador
2024-04-29 07:59:00,Economía,¡Superpeso arranca la semana con todo!;  esta es la cotización del dólar para este lunes,https://www.informador.mx/economia/Dolar-HOY-Superpeso-arranca-la-semana-con-todo-esta-es-la-cotizacion-del-dolar-para-este-lunes-29-de-abril-de-2024-20240429-0037.html,Este es el tipo de cambio de dólar a peso para hoy lunes 29 de abril de 2024 en los principales bancos de México,El Informador
2024-04-29 07:47:00,México,"Así responde Xóchitl a la libertad del hermano de ""El Mencho""",https://www.informador.mx/mexico/CJNG-Asi-responde-Xochitl-Galvez-a-la-libertad-del-hermano-de-El-Mencho-20240429-0030.html,"Abraham Oseguera, ""Don Rodo"", hermano de Nemesio Oseguera, ""El Mencho"", fue detenido el pasado 21 de abril en el municipio de Autlán de Navarro",SUN .
2024-04-29 07:00:00,Entretenimiento,Mizada Mohamed: Conoce qué le depara a tu horóscopo del 29 de abril al 5 de mayo,https://www.informador.mx/entretenimiento/Mizada-Mohamed-Conoce-que-le-depara-a-tu-horoscopo-del-29-de-abril-al-5-de-mayo-20240428-0104.html,Mizada nos dice que sucederá en la vida de los signos en esta semana,Elsy Angélica Elizondo
2024-04-29 07:00:00,México,"""La Mañanera"" de López Obrador de hoy 29 de abril de 2024",https://www.informador.mx/mexico/AMLO-La-mananera-de-hoy-lunes-29-de-abril-de-2024-EN-VIVO-20240426-0053.html,"Andrés Manuel López Obrador. Conoce los temas más importantes de la conferencia ""mañanera"" del Presidente de México de este lunes 29 de abril de 2024",Oralia F. López
2024-04-29 06:32:00,Deportes,Rayados manda a Necaxa al Play In,https://www.informador.mx/deportes/Clausura-2024-Rayados-manda-a-Necaxa-al-Play-In-20240429-0027.html,"El equipo regiomontano destacó por su desempeño, el cual le brindó la victoria, al concluir el encuentro con un marcador de 5-2",El Informador
